HQ,Country,State_of_outlet,City_of_outlet,Month,Day,Year,Total_Sales
Asia,India,,Bombay (Mumbai),1,1,2005,72.2
Asia,India,,Bombay (Mumbai),1,2,2005,72.7
Asia,India,,Bombay (Mumbai),1,3,2005,74.3
Asia,India,,Bombay (Mumbai),1,4,2005,78.9
Asia,India,,Bombay (Mumbai),1,5,2005,81.5
Asia,India,,Bombay (Mumbai),1,6,2005,78.8
Asia,India,,Bombay (Mumbai),1,7,2005,77.3
Asia,India,,Bombay (Mumbai),1,8,2005,79.3
Asia,India,,Bombay (Mumbai),1,9,2005,78.8
Asia,India,,Bombay (Mumbai),1,10,2005,76.6
Asia,India,,Bombay (Mumbai),1,11,2005,76.7
Asia,India,,Bombay (Mumbai),1,12,2005,76.7
Asia,India,,Bombay (Mumbai),1,13,2005,78.8
Asia,India,,Bombay (Mumbai),1,14,2005,76.1
Asia,India,,Bombay (Mumbai),1,15,2005,77.1
Asia,India,,Bombay (Mumbai),1,16,2005,75.5
Asia,India,,Bombay (Mumbai),1,17,2005,74.8
Asia,India,,Bombay (Mumbai),1,18,2005,71.2
Asia,India,,Bombay (Mumbai),1,19,2005,72.1
Asia,India,,Bombay (Mumbai),1,20,2005,76.8
Asia,India,,Bombay (Mumbai),1,21,2005,78
Asia,India,,Bombay (Mumbai),1,22,2005,74.9
Asia,India,,Bombay (Mumbai),1,23,2005,72.6
Asia,India,,Bombay (Mumbai),1,24,2005,73.5
Asia,India,,Bombay (Mumbai),1,25,2005,73.6
Asia,India,,Bombay (Mumbai),1,26,2005,72.8
Asia,India,,Bombay (Mumbai),1,27,2005,75.8
Asia,India,,Bombay (Mumbai),1,28,2005,76
Asia,India,,Bombay (Mumbai),1,29,2005,75.9
Asia,India,,Bombay (Mumbai),1,30,2005,75.7
Asia,India,,Bombay (Mumbai),1,31,2005,76.4
Asia,India,,Bombay (Mumbai),2,1,2005,78.2
Asia,India,,Bombay (Mumbai),2,2,2005,79.6
Asia,India,,Bombay (Mumbai),2,3,2005,80.2
Asia,India,,Bombay (Mumbai),2,4,2005,81.6
Asia,India,,Bombay (Mumbai),2,5,2005,81
Asia,India,,Bombay (Mumbai),2,6,2005,80.1
Asia,India,,Bombay (Mumbai),2,7,2005,80.6
Asia,India,,Bombay (Mumbai),2,8,2005,81.6
Asia,India,,Bombay (Mumbai),2,9,2005,83.8
Asia,India,,Bombay (Mumbai),2,10,2005,82.3
Asia,India,,Bombay (Mumbai),2,11,2005,80.4
Asia,India,,Bombay (Mumbai),2,12,2005,82.7
Asia,India,,Bombay (Mumbai),2,13,2005,85.3
Asia,India,,Bombay (Mumbai),2,14,2005,83.8
Asia,India,,Bombay (Mumbai),2,15,2005,81.1
Asia,India,,Bombay (Mumbai),2,16,2005,81.3
Asia,India,,Bombay (Mumbai),2,17,2005,79
Asia,India,,Bombay (Mumbai),2,18,2005,77.3
Asia,India,,Bombay (Mumbai),2,19,2005,75.9
Asia,India,,Bombay (Mumbai),2,20,2005,72.6
Asia,India,,Bombay (Mumbai),2,21,2005,77.3
Asia,India,,Bombay (Mumbai),2,22,2005,77.4
Asia,India,,Bombay (Mumbai),2,23,2005,75.2
Asia,India,,Bombay (Mumbai),2,24,2005,77.8
Asia,India,,Bombay (Mumbai),2,25,2005,81.2
Asia,India,,Bombay (Mumbai),2,26,2005,85.6
Asia,India,,Bombay (Mumbai),2,27,2005,83
Asia,India,,Bombay (Mumbai),2,28,2005,79.6
Asia,India,,Bombay (Mumbai),3,1,2005,79.9
Asia,India,,Bombay (Mumbai),3,2,2005,79.2
Asia,India,,Bombay (Mumbai),3,3,2005,79.2
Asia,India,,Bombay (Mumbai),3,4,2005,78.4
Asia,India,,Bombay (Mumbai),3,5,2005,78.3
Asia,India,,Bombay (Mumbai),3,6,2005,77.6
Asia,India,,Bombay (Mumbai),3,7,2005,76.4
Asia,India,,Bombay (Mumbai),3,8,2005,77.1
Asia,India,,Bombay (Mumbai),3,9,2005,76.5
Asia,India,,Bombay (Mumbai),3,10,2005,77.7
Asia,India,,Bombay (Mumbai),3,11,2005,79.1
Asia,India,,Bombay (Mumbai),3,12,2005,80.3
Asia,India,,Bombay (Mumbai),3,13,2005,81.5
Asia,India,,Bombay (Mumbai),3,14,2005,82.1
Asia,India,,Bombay (Mumbai),3,15,2005,82.2
Asia,India,,Bombay (Mumbai),3,16,2005,82.4
Asia,India,,Bombay (Mumbai),3,17,2005,85.3
Asia,India,,Bombay (Mumbai),3,18,2005,85.4
Asia,India,,Bombay (Mumbai),3,19,2005,85.7
Asia,India,,Bombay (Mumbai),3,20,2005,83.4
Asia,India,,Bombay (Mumbai),3,21,2005,83.1
Asia,India,,Bombay (Mumbai),3,22,2005,82.1
Asia,India,,Bombay (Mumbai),3,23,2005,79.8
Asia,India,,Bombay (Mumbai),3,24,2005,79.7
Asia,India,,Bombay (Mumbai),3,25,2005,83
Asia,India,,Bombay (Mumbai),3,26,2005,82
Asia,India,,Bombay (Mumbai),3,27,2005,82.4
Asia,India,,Bombay (Mumbai),3,28,2005,80.8
Asia,India,,Bombay (Mumbai),3,29,2005,81.1
Asia,India,,Bombay (Mumbai),3,30,2005,80.5
Asia,India,,Bombay (Mumbai),3,31,2005,82.1
Asia,India,,Bombay (Mumbai),4,1,2005,82
Asia,India,,Bombay (Mumbai),4,2,2005,86.8
Asia,India,,Bombay (Mumbai),4,3,2005,89.3
Asia,India,,Bombay (Mumbai),4,4,2005,88
Asia,India,,Bombay (Mumbai),4,5,2005,85.9
Asia,India,,Bombay (Mumbai),4,6,2005,86
Asia,India,,Bombay (Mumbai),4,7,2005,84.5
Asia,India,,Bombay (Mumbai),4,8,2005,82.6
Asia,India,,Bombay (Mumbai),4,9,2005,82
Asia,India,,Bombay (Mumbai),4,10,2005,83.3
Asia,India,,Bombay (Mumbai),4,11,2005,83.2
Asia,India,,Bombay (Mumbai),4,12,2005,84.3
Asia,India,,Bombay (Mumbai),4,13,2005,83.6
Asia,India,,Bombay (Mumbai),4,14,2005,83.6
Asia,India,,Bombay (Mumbai),4,15,2005,84
Asia,India,,Bombay (Mumbai),4,16,2005,83.2
Asia,India,,Bombay (Mumbai),4,17,2005,83.5
Asia,India,,Bombay (Mumbai),4,18,2005,85
Asia,India,,Bombay (Mumbai),4,19,2005,85.2
Asia,India,,Bombay (Mumbai),4,20,2005,86.1
Asia,India,,Bombay (Mumbai),4,21,2005,83.7
Asia,India,,Bombay (Mumbai),4,22,2005,83
Asia,India,,Bombay (Mumbai),4,23,2005,84.2
Asia,India,,Bombay (Mumbai),4,24,2005,85.3
Asia,India,,Bombay (Mumbai),4,25,2005,83.6
Asia,India,,Bombay (Mumbai),4,26,2005,83.7
Asia,India,,Bombay (Mumbai),4,27,2005,82.7
Asia,India,,Bombay (Mumbai),4,28,2005,83.2
Asia,India,,Bombay (Mumbai),4,29,2005,82.9
Asia,India,,Bombay (Mumbai),4,30,2005,82.7
Asia,India,,Bombay (Mumbai),5,1,2005,83.4
Asia,India,,Bombay (Mumbai),5,2,2005,83.4
Asia,India,,Bombay (Mumbai),5,3,2005,83.6
Asia,India,,Bombay (Mumbai),5,4,2005,84.2
Asia,India,,Bombay (Mumbai),5,5,2005,83.2
Asia,India,,Bombay (Mumbai),5,6,2005,83.7
Asia,India,,Bombay (Mumbai),5,7,2005,84.3
Asia,India,,Bombay (Mumbai),5,8,2005,83.9
Asia,India,,Bombay (Mumbai),5,9,2005,84
Asia,India,,Bombay (Mumbai),5,10,2005,84.7
Asia,India,,Bombay (Mumbai),5,11,2005,83.9
Asia,India,,Bombay (Mumbai),5,12,2005,84.2
Asia,India,,Bombay (Mumbai),5,13,2005,83.5
Asia,India,,Bombay (Mumbai),5,14,2005,83.4
Asia,India,,Bombay (Mumbai),5,15,2005,83.2
Asia,India,,Bombay (Mumbai),5,16,2005,84.1
Asia,India,,Bombay (Mumbai),5,17,2005,84.3
Asia,India,,Bombay (Mumbai),5,18,2005,84.6
Asia,India,,Bombay (Mumbai),5,19,2005,85.2
Asia,India,,Bombay (Mumbai),5,20,2005,85
Asia,India,,Bombay (Mumbai),5,21,2005,87.1
Asia,India,,Bombay (Mumbai),5,22,2005,87.7
Asia,India,,Bombay (Mumbai),5,23,2005,87.1
Asia,India,,Bombay (Mumbai),5,24,2005,87.5
Asia,India,,Bombay (Mumbai),5,25,2005,87.4
Asia,India,,Bombay (Mumbai),5,26,2005,87
Asia,India,,Bombay (Mumbai),5,27,2005,87.5
Asia,India,,Bombay (Mumbai),5,28,2005,87.8
Asia,India,,Bombay (Mumbai),5,29,2005,88.5
Asia,India,,Bombay (Mumbai),5,30,2005,88.2
Asia,India,,Bombay (Mumbai),5,31,2005,88
Asia,India,,Bombay (Mumbai),6,1,2005,87.4
Asia,India,,Bombay (Mumbai),6,2,2005,87.8
Asia,India,,Bombay (Mumbai),6,3,2005,87.7
Asia,India,,Bombay (Mumbai),6,4,2005,87.6
Asia,India,,Bombay (Mumbai),6,5,2005,87.9
Asia,India,,Bombay (Mumbai),6,6,2005,88.4
Asia,India,,Bombay (Mumbai),6,7,2005,89.2
Asia,India,,Bombay (Mumbai),6,8,2005,89
Asia,India,,Bombay (Mumbai),6,9,2005,89.5
